step,timestamp,accepted,temperature,sample_size,vocab_size,min_df,max_iter,reg_param,use_bigrams,accuracy,macro_f1,positive_f1,negative_f1,neutral_f1,positive_precision,positive_recall,negative_precision,negative_recall,neutral_precision,neutral_recall
0,2026-04-30T22:18:44,True,0.015,100000,12000,3,20,5e-05,True,0.8162797648699811,0.6404388933614492,0.903421052631579,0.6356936879205383,0.3822019395322305,0.9259608900876601,0.8819524727039177,0.5890736342042755,0.6903270702853166,0.35714285714285715,0.4110429447852761
1,2026-04-30T22:19:45,True,0.015,100000,10000,3,20,5e-05,True,0.8136893494071934,0.641063141735975,0.9015906540822388,0.6385737439222042,0.383025027203482,0.9272332337768123,0.8773281952472703,0.5976941747572816,0.6854558107167711,0.34408602150537637,0.43190184049079755
2,2026-04-30T22:20:43,True,0.010499999999999999,100000,10000,4,20,5e-05,True,0.8141875062269602,0.641874127239792,0.9018417057231499,0.6401294498381876,0.38365122615803815,0.9276208582292232,0.8774566473988439,0.5983061101028433,0.6882393876130828,0.34509803921568627,0.43190184049079755
3,2026-04-30T22:21:48,True,0.007349999999999999,100000,12000,4,20,5e-05,True,0.815183819866494,0.6402196011678034,0.9021853607161664,0.6350832266325224,0.3833902161547213,0.9252058863237478,0.8802825947334618,0.5880260818020154,0.6903270702853166,0.35737009544008486,0.4134969325153374
4,2026-04-30T22:22:50,True,0.0051449999999999985,100000,10000,4,20,5e-05,True,0.8141875062269602,0.641874127239792,0.9018417057231499,0.6401294498381876,0.38365122615803815,0.9276208582292232,0.8774566473988439,0.5983061101028433,0.6882393876130828,0.34509803921568627,0.43190184049079755
5,2026-04-30T22:23:53,True,0.003601499999999999,100000,10000,3,20,5e-05,True,0.8136893494071934,0.641063141735975,0.9015906540822388,0.6385737439222042,0.383025027203482,0.9272332337768123,0.8773281952472703,0.5976941747572816,0.6854558107167711,0.34408602150537637,0.43190184049079755
6,2026-04-30T22:24:57,True,0.002521049999999999,100000,10000,3,20,2.5e-05,True,0.8139882434990535,0.6411260973009402,0.9016425885612507,0.6392220421393842,0.38251366120218583,0.9267697314890154,0.8778420038535646,0.5983009708737864,0.686151704940849,0.3448275862068966,0.4294478527607362
7,2026-04-30T22:25:55,True,0.0017647349999999993,100000,10000,3,15,2.5e-05,True,0.8154827139583541,0.6468522581494559,0.9029055529816665,0.6417284746855852,0.39592274678111583,0.9313216821409066,0.8761721258831086,0.5979567307692307,0.6924147529575505,0.3517635843660629,0.452760736196319
8,2026-04-30T22:26:55,True,0.0012353144999999995,100000,10000,4,15,2.5e-05,True,0.8158812394141676,0.6470225137073925,0.9030551514349954,0.6418875242404655,0.3961248654467169,0.9306255962927628,0.8770712909441233,0.5992757996378998,0.6910229645093946,0.35282837967401726,0.45153374233128835
